Source,Name,RSS feed URLs (where available),Type,Associated Twitter Handle,Associated Publisher,Text Aliases,Tags
http://www.haarlemsdagblad.nl,Haarlems Dagblaad,,News Source,@hdhaarlem,Haarlems Dagblaad,,Referring|International|Europe
https://www.abendblatt.de,Hamburger Addenblatt,,News Source,,Hamburger Addenblatt,,Referring|International|Europe
https://www.hawaiitribune-herald.com,Hawaii Tribune Herald,,News Source,@HITribuneHerald,Hawaii Tribune Herald,,Referring|International|NAmerica
https://www.hs.fi,Helsingin Sanomat,,News Source,@hsfi,Helsingin Sanomat,,Referring|International|NAmerica
https://www.heraldlive.co.za,Herald Live,,News Source,@HeraldPE,Herald Live,,Referring|International|Africa
https://www.hollywoodreporter.com,Hollywood Reporter,,News Source,@THR,Hollywood Reporter,,Referring|International|NAmerica
https://www.hprweb.com,Homiletic and Pastoral Review,,News Source,,Homiletic and Pastoral Review,,Referring|Christian|NAmerica
https://www.chron.com,Houston Sun Chronicle,,News Source,@HoustonChron,Houston Sun Chronicle,,Referring|International|NAmerica
http://www.hpdetijd.nl,HP/De Tijd,,News Source,@HPdeTijdNL,HP/De Tijd,,Referring|International|Europe
https://www.idahostatesman.com,Idaho Statesman,,News Source,@IdahoStatesman,Idaho Statesman,,Referring|International|NAmerica
https://www.idnes.cz,Idnes,,News Source,@iDNEScz,Idnes,,Referring|International|Europe
http://www.ijmuidercourant.nl,IJmuider Courant,,News Source,@ijmuidercourant,IJmuider Courant,,Referring|International|Europe
http://www.ilgiornale.it,Il Giornale,,News Source,@ilgiornale,Il Giornale,,Referring|International|Europe
https://ilmanifesto.it,Il Manifesto,,News Source,@manifestoglobal,Il Manifesto,,Referring|International|Europe
https://www.ilrestodelcarlino.it,Il Resto del Carlino,,News Source,@qn_carlino,Il Resto del Carlino,,Referring|International|Europe
https://www.is.fi,Ilta-Sanomat,,News Source,@iltasanomat,Ilta-Sanomat,,Referring|International|Europe
https://ijr.com,Independent Journal Review,,News Source,@TheIJR,Independent Journal Review,,right-center|Referring|International|NAmerica
indiatoday.in,India Today,,News Source,@IndiaToday,India Today,,Referring|International|Asia
http://www.ians.in,Indo-Asian News Service,,News Source,@ians_india,Indo-Asian News Service,,Referring|International|Asia
https://www.indystar.com,IndyStar,,News Source,@indystar,IndyStar,,Referring|International|NAmerica
https://www.juancole.com,Informed Comment,,News Source,@infcomment,Informed Comment,,Referring|International|NAmerica
https://www.dailybulletin.com,Inland Valley Daily News,,News Source,@ivdailybulletin,Inland Valley Daily News,,Referring|International|NAmerica
https://inosmi.ru,Inosmi,,News Source,@inosmi,Inosmi,,Referring|International|Europe
https://interfax.com/,International Information Group,,News Source,@interfax_news,International Information Group,,Referring|Wire|Europe
http://www.ipsnews.net,Interpress News Service,,News Source,@ipsnews,Interpress News Service,,Referring|International|Europe
https://isna.ir,Iranian Students News Agency,,News Source,@IrnaEnglish,Iranian Students News Agency,,Referring|Wire|MENA
http://irishtimes.com,Irish Times,,News Source,@IrishTimes,Irish Times,,Referring|International|Europe
https://www.islamtimes.org/,Islam Times,,News Source,@IslamTimes3,Islam Times,,Referring|International|MENA
https://www.icana.ir/,Islamic Consultative Assembly News Agency,,News Source,,Islamic Consultative Assembly News Agency,,Referring|Wire|MENA
https://www.islamicfinancenews.com,Islamic Finance News,,News Source,@IFN_news,Islamic Finance News,,Referring|International|Asia
https://irna.ir,Islamic Republic News Agency,,News Source,@IrnaEnglish,Islamic Republic News Agency,,Referring|Wire|MENA
http://www.israelfaxx.com,Israel Faxx,,News Source,,Israel Faxx,,Referring|Jewish|NAmerica
https://news.israelinfo.co.il,Israel Info,,News Source,@News_Israelinfo,Israel Info,,Referring|Jewish|MENA
Istoe.com.br,Istoé,,News Source,@RevistaISTOE,Istoé,,Referring|International|LAmerica
https://www.islamicity.org,Iviews,,News Source,@IslamiCity,Iviews,,Referring|International|NAmerica
http://www.jwire.com.au/,J-Wire Digital,,News Source,,J-Wire Digital,,Referring|Jewish|Oceania
http://jacobinmag.com,Jacobin Mag,,News Source,@jacobinmag,Jacobin Mag, ,left|Referring|International|NAmerica
http://the-japan-news.com,Japan News,,News Source,@The_Japan_News,Japan News,,Referring|International|Asia
https://www.thejakartapost.com,Jarkata Post,,News Source,@jakpost,Jarkata Post,,Referring|International|Asia
https://www.thejewishadvocate.com,Jewish Advocate,,News Source,@TheJewishAdvct,Jewish Advocate,,Referring|Jewish|NAmerica
http://jewishcurrents.org,Jewish Currents,,News Source,@JewishCurrents,Jewish Currents,,Referring|Jewish|NAmerica
http://jewishexponent.com,Jewish Exponent,,News Source,@jewishexponent,Jewish Exponent,,Referring|Jewish|NAmerica
http://jhvonline.com/,Jewish Herald-Voice,,News Source,@jhvonline,Jewish Herald-Voice,,Referring|Jewish|NAmerica
https://jewishjournal.com/,Jewish Journal,,News Source,@JewishJournal,Jewish Journal,,Referring|Jewish|NAmerica
https://jewishjournal.org/,Jewish Journal,,News Source,@jewish_ma,Jewish Journal,,Referring|Jewish|NAmerica
